segment,date,supply,demand,occupancy_rate,average_daily_rate,revenue_per_available_room,sample_properties,sample_rooms,census_properties,census_rooms
Qatar+,2014-10,519281,418559,80.6,536.78,432.67,64,15920,71,16751
Qatar+,2015-02,509740,398021,78.1,562.38,439.13,74,17777,78,18205
Qatar+,2015-03,564355,456137,80.8,581.72,470.17,75,17785,78,18205
Qatar+,2016-02,568148,371276,65.3,506.41,330.93,86,19896,89,20291
Qatar+,2017-05,699329,409826,58.6,448.29,262.71,96,22164,99,22559
Qatar+,2017-09,703500,374037,53.2,450.52,239.53,101,23102,103,23450
Qatar+,2021-01,865489,519943,60.1,327.47,196.73,126,27478,129,27919
Qatar+,2022-03,917879,601062,65.5,467.89,306.39,135,29261,137,29609
Qatar+,2022-06,899220,539156,60.0,447.38,268.24,137,29752,138,29974
Qatar+,2022-11,1124160,628079,55.9,1839.25,1027.6,171,36359,178,37472
Qatar+,2023-06,1149390,624122,54.3,406.19,220.56,181,37617,186,38313
Standard Apartments+,2014-03,5146,4164,80.9,266.87,215.94,3,166,3,166
Standard Apartments+,2014-08,5146,3468,67.4,265.58,178.98,3,166,3,166
Standard Apartments+,2015-07,5146,3200,62.2,244.25,151.89,3,166,3,166
Standard Apartments+,2017-05,26567,13125,49.4,303.1,149.74,5,857,5,857
Standard Apartments+,2017-12,26567,17271,65.0,283.6,184.37,5,857,5,857
Standard Apartments+,2019-05,30597,22379,73.1,261.53,191.28,6,987,6,987
Standard Apartments+,2020-07,31465,16580,52.7,256.37,135.09,6,987,7,1015
Standard Apartments+,2020-11,29250,20449,69.9,223.73,156.41,6,975,6,975
Standard Apartments+,2022-08,32612,17936,55.0,257.73,141.74,8,1052,8,1052
Standard Apartments+,2024-01,32612,26101,80.0,296.58,237.37,8,1052,8,1052
Standard Apartments+,2024-02,29456,21896,74.3,322.12,239.45,8,1052,8,1052
Deluxe Apartments+,2017-05,148304,95805,64.6,345.52,223.2,11,4784,11,4784
Deluxe Apartments+,2019-07,150691,99145,65.8,303.99,200.01,12,4861,12,4861
Deluxe Apartments+,2020-10,172577,79632,46.1,327.24,151.0,15,5567,15,5567
Deluxe Apartments+,2020-11,167010,84459,50.6,312.51,158.04,15,5567,15,5567
Deluxe Apartments+,2021-08,196509,124087,63.1,367.05,231.78,17,6339,17,6339
Deluxe Apartments+,2022-04,197040,85540,43.4,359.89,156.24,18,6568,18,6568
Deluxe Apartments+,2024-04,258660,182451,70.5,380.83,268.62,29,8510,30,8622
Qatar+,2019-09,778710,535458,68.8,362.97,249.59,115,25609,117,25957
Qatar+,2021-08,910904,646465,71.0,389.81,276.65,133,28943,136,29384
Qatar+,2021-11,885090,626023,70.7,419.5,296.71,134,29155,136,29503
Standard Apartments+,2014-07,5146,3689,71.7,250.96,179.9,3,166,3,166
Standard Apartments+,2018-01,26567,17180,64.7,277.51,179.46,5,857,5,857
Standard Apartments+,2018-11,25710,18243,71.0,266.98,189.44,5,857,5,857
Standard Apartments+,2019-10,30597,23063,75.4,277.19,208.94,6,987,6,987
Standard Apartments+,2025-02,29456,23736,80.6,267.93,215.9,7,961,8,1052
1 & 2 Star Hotels+,2015-03,13981,12102,86.6,293.98,254.47,6,379,7,451
1 & 2 Star Hotels+,2017-03,14911,10994,73.7,239.51,176.59,8,481,8,481
1 & 2 Star Hotels+,2018-10,16647,13014,78.2,173.2,135.4,9,537,9,537
1 & 2 Star Hotels+,2021-11,13320,11545,86.7,198.34,171.91,8,444,8,444
1 & 2 Star Hotels+,2023-01,16616,12787,77.0,166.91,128.45,9,536,9,536
1 & 2 Star Hotels+,2023-09,17580,16476,93.7,148.72,139.38,10,586,10,586
3 Star Hotels+,2014-10,28861,22872,79.2,289.13,229.13,9,709,11,931
3 Star Hotels+,2016-02,34832,20175,57.9,270.91,156.91,13,1118,14,1244
3 Star Hotels+,2016-08,36239,20744,57.2,257.91,147.63,12,1043,13,1169
3 Star Hotels+,2017-03,42005,25473,60.6,239.93,145.5,14,1229,15,1355
3 Star Hotels+,2017-10,50282,27664,55.0,175.08,96.32,16,1496,17,1622
3 Star Hotels+,2019-03,52886,43799,82.8,175.58,145.41,17,1580,18,1706
3 Star Hotels+,2020-06,56700,31900,56.3,173.25,97.47,17,1671,19,1890
3 Star Hotels+,2022-06,47790,39953,83.6,195.08,163.09,15,1593,15,1593
3 Star Hotels+,2024-01,72354,68623,94.8,275.35,261.16,21,2256,23,2334
4 Star Hotels+,2015-03,143871,120710,83.9,428.69,359.68,23,4641,23,4641
4 Star Hotels+,2015-09,147360,100473,68.2,391.43,266.88,25,4912,25,4912
4 Star Hotels+,2018-05,175615,97255,55.4,235.64,130.5,29,5665,29,5665
4 Star Hotels+,2019-04,169320,125875,74.3,227.87,169.4,28,5428,29,5644
4 Star Hotels+,2021-10,186992,138835,74.2,246.07,182.7,32,6032,32,6032
4 Star Hotels+,2022-05,182063,118246,64.9,242.0,157.18,31,5873,31,5873
4 Star Hotels+,2023-01,228377,97487,42.7,236.33,100.88,38,7151,39,7367
4 Star Hotels+,2023-02,206276,112822,54.7,242.69,132.74,39,7367,39,7367
4 Star Hotels+,2023-03,228377,124409,54.5,248.64,135.45,38,7151,39,7367
5 Star Hotels+,2015-03,253735,190867,75.2,841.04,632.65,28,7963,29,8185
5 Star Hotels+,2017-07,320540,153206,47.8,705.32,337.12,37,10118,38,10340
5 Star Hotels+,2022-08,469836,228889,48.7,548.55,267.24,58,14934,59,15156
5 Star Hotels+,2023-01,553629,256237,46.3,572.93,265.17,72,17859,72,17859
5 Star Hotels+,2023-09,551910,283557,51.4,509.68,261.86,74,18327,75,18397
Deluxe Apartments+,2014-04,116910,99492,85.1,323.07,274.94,6,3817,7,3897
Deluxe Apartments+,2014-07,121086,100651,83.1,331.53,275.58,6,3826,7,3906
Deluxe Apartments+,2015-06,117120,96797,82.6,350.17,289.41,7,3904,7,3904
Qatar+,2021-03,887468,635663,71.6,390.04,279.38,128,28187,131,28628
Qatar+,2023-02,1062460,606469,57.1,431.92,246.55,182,37930,183,37945
Standard Apartments+,2020-08,30225,19389,64.1,235.03,150.76,5,947,6,975
Standard Apartments+,2022-07,32612,17629,54.1,266.47,144.05,8,1052,8,1052
1 & 2 Star Hotels+,2014-01,13981,11817,84.5,277.05,234.17,4,336,7,451
1 & 2 Star Hotels+,2014-02,12628,10271,81.3,258.58,210.32,5,371,7,451
1 & 2 Star Hotels+,2015-04,13530,8657,64.0,278.79,178.38,7,451,7,451
1 & 2 Star Hotels+,2015-07,14756,8554,58.0,276.29,160.17,8,476,8,476
1 & 2 Star Hotels+,2015-12,14756,10133,68.7,281.01,192.97,8,476,8,476
1 & 2 Star Hotels+,2016-06,14280,6239,43.7,282.86,123.58,8,476,8,476
1 & 2 Star Hotels+,2019-09,16140,14088,87.3,163.86,143.03,9,538,9,538
1 & 2 Star Hotels+,2020-05,12276,5529,45.0,143.4,64.58,6,285,7,396
1 & 2 Star Hotels+,2022-10,16616,13964,84.0,171.02,143.73,9,536,9,536
1 & 2 Star Hotels+,2023-11,17580,16366,93.1,162.35,151.14,10,586,10,586
1 & 2 Star Hotels+,2024-03,18166,13834,76.2,154.83,117.91,10,586,10,586
1 & 2 Star Hotels+,2024-09,17580,14767,84.0,146.36,122.94,9,536,10,586
1 & 2 Star Hotels+,2025-01,18166,16885,92.9,193.2,179.58,8,511,10,586
3 Star Hotels+,2015-01,34441,27516,79.9,359.85,287.49,12,985,13,1111
3 Star Hotels+,2015-06,37380,20399,54.6,277.49,151.43,13,1120,14,1246
3 Star Hotels+,2015-07,38564,19654,51.0,284.18,144.83,13,1118,14,1244
3 Star Hotels+,2016-12,38285,24329,63.5,244.5,155.37,13,1109,14,1235
3 Star Hotels+,2017-07,50282,20085,39.9,194.77,77.8,16,1496,17,1622
3 Star Hotels+,2019-01,52886,40623,76.8,173.42,133.21,17,1580,18,1706
3 Star Hotels+,2019-06,51180,36219,70.8,173.0,122.43,17,1580,18,1706
3 Star Hotels+,2019-08,52886,37526,71.0,168.53,119.58,17,1580,18,1706
3 Star Hotels+,2019-09,51180,41419,80.9,168.81,136.61,17,1580,18,1706
3 Star Hotels+,2020-07,58590,33904,57.9,149.68,86.61,17,1671,19,1890
3 Star Hotels+,2021-11,47670,41503,87.1,229.45,199.77,14,1463,15,1589
3 Star Hotels+,2022-03,49259,41952,85.2,213.21,181.58,14,1463,15,1589
3 Star Hotels+,2023-02,62972,48542,77.1,188.07,144.98,21,2234,22,2249
3 Star Hotels+,2023-04,67410,46900,69.6,177.71,123.64,21,2232,22,2247
3 Star Hotels+,2024-06,75570,56321,74.5,167.02,124.48,22,2441,24,2519
4 Star Hotels+,2014-12,143871,113836,79.1,397.05,314.16,22,4414,23,4641
4 Star Hotels+,2015-06,142140,87001,61.2,379.77,232.45,24,4738,24,4738
4 Star Hotels+,2015-10,152272,108770,71.4,393.93,281.39,25,4912,25,4912
4 Star Hotels+,2016-08,153605,81825,53.3,325.5,173.39,25,4955,25,4955
4 Star Hotels+,2017-04,148980,100143,67.2,339.58,228.26,25,4966,25,4966
4 Star Hotels+,2017-09,161100,73350,45.5,270.83,123.31,26,5370,26,5370
4 Star Hotels+,2018-08,175305,90745,51.8,228.59,118.33,29,5655,29,5655
4 Star Hotels+,2019-03,175026,123575,70.6,233.6,164.93,29,5646,29,5646
4 Star Hotels+,2020-10,180792,131139,72.5,208.88,151.51,30,5832,30,5832
4 Star Hotels+,2021-06,180960,127148,70.3,228.8,160.76,32,6032,32,6032
4 Star Hotels+,2022-02,161420,112509,69.7,244.61,170.49,30,5765,30,5765
4 Star Hotels+,2022-08,182094,109958,60.4,225.23,136.0,30,5769,31,5874
4 Star Hotels+,2022-09,173070,93247,53.9,254.28,137.0,30,5769,30,5769
4 Star Hotels+,2022-12,228036,139146,61.0,1088.79,664.37,37,6692,39,7356
5 Star Hotels+,2014-10,214179,161868,75.6,801.23,605.54,23,6687,24,6909
5 Star Hotels+,2015-09,252540,165089,65.4,766.21,500.88,29,8196,30,8418
5 Star Hotels+,2015-10,266755,184869,69.3,760.99,527.39,29,8196,31,8605
5 Star Hotels+,2016-04,291330,182643,62.7,723.84,453.8,34,9489,35,9711
5 Star Hotels+,2019-07,396521,213298,53.8,542.52,291.84,46,12376,48,12791
5 Star Hotels+,2019-11,376890,261910,69.5,509.05,353.75,47,12341,48,12563
5 Star Hotels+,2020-06,390270,169935,43.5,500.32,217.85,49,12619,51,13009
5 Star Hotels+,2020-11,400680,233138,58.2,437.53,254.58,51,13134,52,13356
5 Star Hotels+,2021-03,425227,312524,73.5,504.47,370.76,52,13495,53,13717
5 Star Hotels+,2021-07,427428,240326,56.2,611.74,343.96,53,13566,54,13788
5 Star Hotels+,2023-04,546060,226551,41.5,661.21,274.33,74,18202,74,18202
5 Star Hotels+,2024-08,592534,311288,52.5,543.11,285.32,77,18874,79,19114
Deluxe Apartments+,2014-08,121086,102821,84.9,346.37,294.12,6,3826,7,3906
Deluxe Apartments+,2015-10,121024,106692,88.2,364.61,321.43,7,3904,7,3904
Deluxe Apartments+,2015-12,123690,102135,82.6,354.78,292.95,7,3990,7,3990
Deluxe Apartments+,2016-10,123690,96196,77.8,305.53,237.61,7,3990,7,3990
Deluxe Apartments+,2019-01,150691,108898,72.3,303.47,219.3,12,4861,12,4861
Deluxe Apartments+,2019-08,150691,96858,64.3,302.1,194.17,12,4861,12,4861
Deluxe Apartments+,2020-04,159810,93049,58.2,312.86,182.16,14,5327,14,5327
Deluxe Apartments+,2020-06,159810,85282,53.4,322.52,172.11,14,5327,14,5327
Deluxe Apartments+,2020-09,159810,73851,46.2,331.44,153.16,14,5327,14,5327
Deluxe Apartments+,2021-10,196540,110410,56.2,376.68,211.61,17,6340,17,6340
Deluxe Apartments+,2022-10,221216,116683,52.7,392.58,207.07,21,7136,21,7136
Deluxe Apartments+,2023-06,253260,148402,58.6,330.8,193.84,27,8040,29,8442
Deluxe Apartments+,2024-01,267282,221744,83.0,448.63,372.19,29,8510,30,8622
Deluxe Apartments+,2024-03,267282,182216,68.2,346.13,235.97,29,8510,30,8622
Deluxe Apartments+,2024-06,258660,177638,68.7,346.37,237.87,29,8510,30,8622
Deluxe Apartments+,2024-11,258660,229674,88.8,404.14,358.85,28,8468,30,8622
Qatar+,2014-04,502290,376108,74.9,512.37,383.66,64,15912,71,16743
Qatar+,2017-11,716160,434521,60.7,404.65,245.52,103,23477,106,23872
Qatar+,2019-03,807953,583307,72.2,374.07,270.06,116,25668,119,26063
Qatar+,2020-01,839263,556084,66.3,363.87,241.09,122,26725,124,27073
Qatar+,2020-03,850020,472469,55.6,347.81,193.32,123,26979,126,27420
Qatar+,2021-10,904115,626873,69.3,400.83,277.92,132,28817,134,29165
Qatar+,2022-05,929101,550676,59.3,472.89,280.28,137,29749,138,29971
Qatar+,2022-08,952599,510874,53.6,396.0,212.37,138,30387,141,30729
Qatar+,2023-07,1193655,615696,51.6,395.41,203.96,181,37719,187,38505
Qatar+,2024-02,1092252,932574,85.4,531.49,453.79,186,38470,193,39009
Qatar+,2024-08,1226019,738621,60.2,377.67,227.53,182,38509,195,39549
Qatar+,2025-02,1143940,944099,82.5,492.47,406.43,190,40017,202,40855
Qatar+,2025-03,1266505,661287,52.2,368.34,192.32,191,40032,202,40855
Standard Apartments+,2014-02,4648,3486,75.0,250.41,187.81,3,166,3,166
Standard Apartments+,2014-09,4980,3753,75.4,255.34,192.43,3,166,3,166
Standard Apartments+,2014-11,4980,4026,80.8,255.45,206.52,3,166,3,166
Standard Apartments+,2016-04,4980,3296,66.2,243.76,161.33,3,166,3,166
Standard Apartments+,2016-07,5146,2759,53.6,235.32,126.17,3,166,3,166
Standard Apartments+,2017-11,25710,16918,65.8,282.72,186.04,5,857,5,857
Standard Apartments+,2018-02,23996,16628,69.3,279.03,193.35,5,857,5,857
Standard Apartments+,2018-03,26567,19029,71.6,279.85,200.45,5,857,5,857
Standard Apartments+,2018-05,26567,19296,72.6,272.92,198.23,5,857,5,857
Standard Apartments+,2018-08,26567,17240,64.9,273.57,177.53,5,857,5,857
Standard Apartments+,2019-02,27636,18633,67.4,268.3,180.89,6,987,6,987
Standard Apartments+,2019-06,29610,20186,68.2,266.3,181.54,6,987,6,987
Standard Apartments+,2019-07,30597,21014,68.7,265.92,182.63,6,987,6,987
Standard Apartments+,2019-08,30597,20749,67.8,265.87,180.3,6,987,6,987
Standard Apartments+,2020-09,29250,19159,65.5,226.33,148.25,5,947,6,975
Standard Apartments+,2020-12,30287,21006,69.4,235.26,163.17,5,949,6,977
Standard Apartments+,2021-05,32612,23653,72.5,226.96,164.61,8,1052,8,1052
Standard Apartments+,2023-07,32612,18602,57.0,207.89,118.58,8,1052,8,1052
Standard Apartments+,2023-08,32612,19642,60.2,209.19,126.0,8,1052,8,1052
1 & 2 Star Hotels+,2014-03,13981,11922,85.3,257.05,219.19,5,371,7,451
1 & 2 Star Hotels+,2014-05,13981,11036,78.9,253.29,199.93,5,371,7,451
1 & 2 Star Hotels+,2015-06,14280,9787,68.5,276.35,189.4,8,476,8,476
1 & 2 Star Hotels+,2015-08,14756,8285,56.1,278.09,156.14,8,476,8,476
1 & 2 Star Hotels+,2016-04,14280,8750,61.3,266.47,163.28,8,476,8,476
1 & 2 Star Hotels+,2016-11,12780,9193,71.9,247.44,177.99,7,426,7,426
1 & 2 Star Hotels+,2017-04,14430,11036,76.5,246.17,188.27,8,481,8,481
1 & 2 Star Hotels+,2018-04,16110,11613,72.1,175.59,126.58,9,537,9,537
1 & 2 Star Hotels+,2018-08,16647,10678,64.1,171.97,110.31,9,537,9,537
1 & 2 Star Hotels+,2021-10,13764,13455,97.8,190.91,186.63,8,444,8,444
1 & 2 Star Hotels+,2022-09,16080,14394,89.5,178.44,159.73,9,536,9,536
1 & 2 Star Hotels+,2023-02,16408,13387,81.6,169.16,138.01,10,586,10,586
1 & 2 Star Hotels+,2023-04,17580,14600,83.0,158.33,131.49,10,586,10,586
1 & 2 Star Hotels+,2023-06,17580,15093,85.9,158.38,135.97,10,586,10,586
1 & 2 Star Hotels+,2024-02,16408,16254,99.1,230.0,227.85,10,586,10,586
1 & 2 Star Hotels+,2024-07,18166,15058,82.9,136.57,113.2,9,494,10,586
1 & 2 Star Hotels+,2024-12,18166,16588,91.3,185.87,169.72,9,536,10,586
